"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2025-05-01T08:31:12+00:00","6958248992",,,"Reimbursement_Reversal","LA-PMUR-5AB5","X0020C2PYD","B0D265ZYB6","TUBOPLUS 29PSI X4e (Incluye Bomba de Aire, 2)","NewItem","EUR","-31.29","-31.29","-1","1","0","6119744582","Damaged_Warehouse"
"2025-04-30T09:31:42+00:00","6955166832",,,"Reimbursement_Reversal","0N-XIX1-FPL9","X00209ZLGP","B0D1Z9TGWZ","TUBOPLUS 29 PSI X4e (non include la pompa dell'aria)","NewItem","EUR","-22.92","-22.92","-1","1","0","6081647232","Damaged_Warehouse"
"2025-04-30T08:33:27+00:00","6955311582",,,"Reimbursement_Reversal","LA-PMUR-5AB5","X0020C2PYD","B0D265ZYB6","TUBOPLUS 29PSI X4e (Comprend une pompe à air, 2)","NewItem","EUR","-29.83","-29.83","-1","1","0","6445517942","CustomerReturn"
"2025-04-29T10:55:03+00:00","6952849732",,,"Reimbursement_Reversal","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (include pompa d'aria)","NewItem","EUR","-27.33","-27.33","-1","1","0","6683723062","CustomerReturn"
"2025-04-29T10:24:16+00:00","6952533012",,,"Reimbursement_Reversal","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (pompe à air incluse)","NewItem","EUR","-26.61","-26.61","-1","1","0","6584925052","Damaged_Warehouse"
"2025-04-28T09:45:10+00:00","6949538222",,,"Reimbursement_Reversal","MK-78DJ-J0C2","X0020AR9P5","B0D22R7L7D","TUBOPLUS 29 PSI X3e (non include la pompa dell'aria)","NewItem","EUR","-21.63","-21.63","-1","1","0","6522601162","CustomerReturn"
"2025-04-26T18:46:25+00:00","6945308032",,"408-9975282-5466730","CustomerReturn","84-F0A5-X7S1","X001T0EPOZ","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","22.30","22.30","1","0","1",,
"2025-04-26T14:37:51+00:00","6945114552",,"406-9285245-6353162","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","21.64","21.64","1","0","1",,
"2025-04-24T07:45:29+00:00","6938515172",,"404-7673214-0051540","CustomerReturn","84-F0A5-X7S1","X001T0EPOZ","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","22.30","22.30","1","0","1",,
"2025-04-22T07:24:27+00:00","6932552952",,"403-1542601-7675524","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","NewItem","EUR","9.66","9.66","1","0","1",,
"2025-04-18T14:53:03+00:00","6922342482",,"171-6429193-9233150","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","21.64","21.64","1","0","1",,
