"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-04-03T15:12:12+00:00","406-4907066-0585144","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE294929961",
"2025-04-03T09:36:54+00:00","402-8689883-4725946","IB-IKLG-TV8H","B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas - Made in Zaragoza-Spain -","1","MAD4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNWE291128478","Es un presurizador y no hace su función, las bolas de pádel las deja en mal estado"
"2025-04-03T04:59:37+00:00","408-7305782-5296363","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRP041083008",
"2025-04-01T17:17:49+00:00","405-0581682-5913917","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP041080600","Buenas , me ha llegado este envío hoy y cuando he procedido ha abrirlo me he dado cuenta de que me ha llegado roto , con una pequeña grieta en una de sus partes , adjunto fotos gracias ."
"2025-04-01T16:17:23+00:00","171-3956450-5883545","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE288118987",
"2025-04-01T14:43:09+00:00","406-0299815-7841107","MD-R60M-OYR1","B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","1","MAD4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP042586456","After several attempts the balls were still deflated."
"2025-03-31T19:54:02+00:00","407-8346003-5964361","MD-R60M-OYR1","B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","1","MAD4","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE288792535",
"2025-03-30T14:34:32+00:00","404-8036091-6467514","TUBOX3-WHI","B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","1","MAD4","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE292868125","Comprado por error"
"2025-03-28T20:47:52+00:00","406-7439026-9337942","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","WRO1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNWE291700680","Perde pressão em poucas horas"
"2025-03-28T16:57:19+00:00","406-6135714-8472314","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","1","MXP5","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHE910134850","Dopo meno di un mese, il tubo non riesce più a mantenere il sottovuoto. Inizialmente lo conservava per alcuni giorni, ma ora perde tenuta nel giro di poche ore."
"2025-03-27T14:49:04+00:00","404-1444858-2785103","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE292640247",
