fecha_y_hora,identificador_de_pago,tipo,order_id,sku,descripcion,cantidad,web_de_amazon,gestion_logistica,ciudad_de_procedencia_del_pedido,comunidad_autonoma_de_procedencia_del_pedido,codigo_postal_de_procedencia_del_pedido,ventas_de_productos,impuesto_de_ventas_de_productos,abonos_de_envio,impuestos_por_abonos_de_envio,abonos_de_envoltorio_para_regalo,impuestos_por_abonos_de_envoltorio_para_regalo,devoluciones_promocionales,impuestos_de_descuentos_por_promociones,impuesto_retenido_en_el_sitio_web,tarifas_de_venta,tarifas_de_logistica_de_amazon,tarifas_de_otras_transacciones,otro,total
2025-06-02 22:13:07,24806491512,Pedido,171-2892535-6706707,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas,1,amazon.es,Amazon,Bilbao,Vizcaya,48015,16.53,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.63,-4.53,-0.11,0.0,11.73
2025-06-02 22:24:38,24806491512,Pedido,405-2808500-7467544,TUBOX3-PINK,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas |,1,amazon.es,Amazon,Gijón,Asturias,33204,16.53,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.63,-4.52,-0.11,0.0,11.74
2025-06-02 22:28:43,24806491512,Pedido,403-2315152-6661165,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,1,amazon.es,Amazon,El Burgo de Osma,Soria (Castilla y León),42300,34.71,7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.63,-4.78,-0.23,0.0,29.36
2025-06-02 22:32:02,24806491512,Pedido,402-0719229-7769955,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas,1,amazon.es,Amazon,Malaga,Malaga,29010,16.53,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.63,-4.52,-0.11,0.0,11.74
2025-06-02 23:05:30,24806491512,Pedido,171-8303373-9490739,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,amazon.es,Amazon,Huarte,Navarra,31620,20.66,4.34,0.59,0.12,0.0,0.0,0.0,0.0,0.0,-4.53,-5.49,-0.13,0.0,15.56
2025-06-02 23:21:47,24806491512,Pedido,408-7008357-2628329,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas,1,amazon.es,Amazon,TERRASSA,Barcelona,8222,16.53,3.47,0.83,0.17,0.0,0.0,-0.83,-0.17,0.0,-3.63,-4.53,-0.11,0.0,11.73
2025-06-02 23:30:48,24806491512,Pedido,408-8043486-3580334,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,2,amazon.es,Amazon,Pozuelo de Alarcón,Madrid,28223,41.32,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.07,-9.56,-0.27,0.0,31.1
2025-06-02 23:48:46,24806491512,Pedido,171-9299987-4331531,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas,1,amazon.es,Amazon,Badalona,Barcelona,8915,16.53,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.63,-4.52,-0.11,0.0,11.74
2025-06-03 14:48:55,24806491512,Tarifas de inventario de Logística de Amazon,No order ID,No SKU,Tarifa de transporte de envíos a Amazon,0,Amazon.es,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.07,-85.07
2025-06-03 14:48:55,24806491512,Tarifas de inventario de Logística de Amazon,No order ID,No SKU,Tarifa del Programa de transporte de envíos a Amazon,0,Amazon.es,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,-0.53
