approval_date,reimbursement_id,case_id,order_id,reason,sku,fnsku,asin,product_name,condition,currency_unit,amount_per_unit,amount_total,quantity_reimbursed_cash,quantity_reimbursed_inventory,quantity_reimbursed_total,original_reimbursement_id,original_reimbursement_type,approval_date_only,approval_month,approval_timezone,approval_hour,approval_weekday
2025-06-12 01:26:05+00:00,7072065522,No case ID,407-5384036-8085936,CustomerReturn,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Blanc,NewItem,EUR,8.87,8.87,1,0,1,No original ID,Unknown,2025-06-12,2025-06,UTC,1,Thursday
2025-06-11 16:45:43+00:00,7071252632,No case ID,404-6358516-1725167,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.,NewItem,EUR,21.64,21.64,1,0,1,No original ID,Unknown,2025-06-11,2025-06,UTC,16,Wednesday
2025-06-10 20:17:03+00:00,7068905672,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,8.62,8.62,1,0,1,No original ID,Unknown,2025-06-10,2025-06,UTC,20,Tuesday
2025-06-01 09:06:02+00:00,7042975912,No case ID,405-5790087-5333154,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.34,11.34,1,0,1,No original ID,Unknown,2025-06-01,2025-06,UTC,9,Sunday
2025-05-30 19:09:55+00:00,7039345732,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,8.62,8.62,1,0,1,No original ID,Unknown,2025-05-30,2025-05,UTC,19,Friday
2025-05-29 20:31:07+00:00,7037000972,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-22.31,-22.31,-1,0,-1,6982704222.0,CustomerReturn,2025-05-29,2025-05,UTC,20,Thursday
2025-05-29 15:53:42+00:00,7036593532,No case ID,No order ID,Reimbursement_Reversal,4R-VSV0-WZ9Z,X00231GYQL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,NewItem,EUR,-8.37,-8.37,-1,0,-1,7014020342.0,CustomerReturn,2025-05-29,2025-05,UTC,15,Thursday
2025-05-29 14:07:17+00:00,7036423322,No case ID,408-5120359-9487560,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,NewItem,EUR,20.85,20.85,1,0,1,No original ID,Unknown,2025-05-29,2025-05,UTC,14,Thursday
2025-05-29 12:06:13+00:00,7036179482,No case ID,403-6078467-3587558,CustomerReturn,TUBOX3-PINK,X001PQRHT3,B0BTDTN52N,TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa,NewItem,EUR,9.27,9.27,1,0,1,No original ID,Unknown,2025-05-29,2025-05,UTC,12,Thursday
2025-05-24 21:33:41+00:00,7022523162,No case ID,408-9555204-8906742,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,NewItem,EUR,20.85,20.85,1,0,1,No original ID,Unknown,2025-05-24,2025-05,UTC,21,Saturday
2025-05-24 20:38:53+00:00,7022511212,No case ID,No order ID,Lost_Warehouse,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,7.31,7.31,1,0,1,No original ID,Unknown,2025-05-24,2025-05,UTC,20,Saturday
2025-05-22 15:13:15+00:00,7016726342,No case ID,405-7073161-6669919,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.34,11.34,1,0,1,No original ID,Unknown,2025-05-22,2025-05,UTC,15,Thursday
2025-05-21 19:11:56+00:00,7014020342,No case ID,407-5303561-0097921,CustomerReturn,4R-VSV0-WZ9Z,X00231GYQL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,NewItem,EUR,8.37,8.37,1,0,1,No original ID,Unknown,2025-05-21,2025-05,UTC,19,Wednesday
2025-05-19 21:17:38+00:00,7008439462,No case ID,171-9053039-9793902,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,NewItem,EUR,8.37,8.37,1,0,1,No original ID,Unknown,2025-05-19,2025-05,UTC,21,Monday
2025-05-19 11:54:54+00:00,7007268812,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,8.62,8.62,1,0,1,No original ID,Unknown,2025-05-19,2025-05,UTC,11,Monday
2025-05-15 11:46:58+00:00,6996682972,11099879692.0,No order ID,Lost_Inbound,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,7.31,7.31,1,0,1,No original ID,Unknown,2025-05-15,2025-05,UTC,11,Thursday
2025-05-14 10:41:32+00:00,6993635982,11099761852.0,No order ID,Lost_Inbound,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,8.62,8.62,1,0,1,No original ID,Unknown,2025-05-14,2025-05,UTC,10,Wednesday
2025-05-10 12:32:41+00:00,6982704222,No case ID,404-6209694-5709915,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.31,22.31,1,0,1,No original ID,Unknown,2025-05-10,2025-05,UTC,12,Saturday
2025-05-04 11:48:33+00:00,6966091392,No case ID,406-6411605-0597164,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,"TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules",NewItem,EUR,8.87,8.87,1,0,1,No original ID,Unknown,2025-05-04,2025-05,UTC,11,Sunday
2025-05-03 09:00:51+00:00,6963382142,No case ID,No order ID,Reimbursement_Reversal,MK-78DJ-J0C2,X0020AR9P5,B0D22R7L7D,TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire),NewItem,EUR,-21.21,-21.21,-1,1,0,6746956742.0,CustomerReturn,2025-05-03,2025-05,UTC,9,Saturday
2025-05-03 06:08:36+00:00,6963089082,No case ID,404-2334522-8968322,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.83,11.83,1,0,1,No original ID,Unknown,2025-05-03,2025-05,UTC,6,Saturday
2025-05-01 08:31:12+00:00,6958248992,No case ID,No order ID,Reimbursement_Reversal,LA-PMUR-5AB5,X0020C2PYD,B0D265ZYB6,"TUBOPLUS 29PSI X4e (Incluye Bomba de Aire, 2)",NewItem,EUR,-31.29,-31.29,-1,1,0,6119744582.0,Damaged_Warehouse,2025-05-01,2025-05,UTC,8,Thursday
2025-04-30 09:31:42+00:00,6955166832,No case ID,No order ID,Reimbursement_Reversal,0N-XIX1-FPL9,X00209ZLGP,B0D1Z9TGWZ,TUBOPLUS 29 PSI X4e (non include la pompa dell'aria),NewItem,EUR,-22.92,-22.92,-1,1,0,6081647232.0,Damaged_Warehouse,2025-04-30,2025-04,UTC,9,Wednesday
2025-04-30 08:33:27+00:00,6955311582,No case ID,No order ID,Reimbursement_Reversal,LA-PMUR-5AB5,X0020C2PYD,B0D265ZYB6,"TUBOPLUS 29PSI X4e (Comprend une pompe à air, 2)",NewItem,EUR,-29.83,-29.83,-1,1,0,6445517942.0,CustomerReturn,2025-04-30,2025-04,UTC,8,Wednesday
2025-04-29 10:55:03+00:00,6952849732,No case ID,No order ID,Reimbursement_Reversal,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (include pompa d'aria),NewItem,EUR,-27.33,-27.33,-1,1,0,6683723062.0,CustomerReturn,2025-04-29,2025-04,UTC,10,Tuesday
2025-04-29 10:24:16+00:00,6952533012,No case ID,No order ID,Reimbursement_Reversal,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (pompe à air incluse),NewItem,EUR,-26.61,-26.61,-1,1,0,6584925052.0,Damaged_Warehouse,2025-04-29,2025-04,UTC,10,Tuesday
2025-04-28 09:45:10+00:00,6949538222,No case ID,No order ID,Reimbursement_Reversal,MK-78DJ-J0C2,X0020AR9P5,B0D22R7L7D,TUBOPLUS 29 PSI X3e (non include la pompa dell'aria),NewItem,EUR,-21.63,-21.63,-1,1,0,6522601162.0,CustomerReturn,2025-04-28,2025-04,UTC,9,Monday
2025-04-26 18:46:25+00:00,6945308032,No case ID,408-9975282-5466730,CustomerReturn,84-F0A5-X7S1,X001T0EPOZ,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.3,22.3,1,0,1,No original ID,Unknown,2025-04-26,2025-04,UTC,18,Saturday
2025-04-26 14:37:51+00:00,6945114552,No case ID,406-9285245-6353162,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.,NewItem,EUR,21.64,21.64,1,0,1,No original ID,Unknown,2025-04-26,2025-04,UTC,14,Saturday
2025-04-24 07:45:29+00:00,6938515172,No case ID,404-7673214-0051540,CustomerReturn,84-F0A5-X7S1,X001T0EPOZ,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.3,22.3,1,0,1,No original ID,Unknown,2025-04-24,2025-04,UTC,7,Thursday
2025-04-22 07:24:27+00:00,6932552952,No case ID,403-1542601-7675524,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,NewItem,EUR,9.66,9.66,1,0,1,No original ID,Unknown,2025-04-22,2025-04,UTC,7,Tuesday
2025-04-18 14:53:03+00:00,6922342482,No case ID,171-6429193-9233150,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.,NewItem,EUR,21.64,21.64,1,0,1,No original ID,Unknown,2025-04-18,2025-04,UTC,14,Friday
2025-04-18 10:22:13+00:00,6922065612,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,NewItem,EUR,-20.85,-20.85,-1,1,0,6899784032.0,CustomerReturn,2025-04-18,2025-04,UTC,10,Friday
2025-04-17 17:23:29+00:00,6919500952,No case ID,405-8225098-2804355,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,"TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules",NewItem,EUR,8.87,8.87,1,0,1,No original ID,Unknown,2025-04-17,2025-04,UTC,17,Thursday
2025-04-17 15:17:13+00:00,6919466522,No case ID,406-3521507-2873165,CustomerReturn,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -,NewItem,EUR,7.92,7.92,1,0,1,No original ID,Unknown,2025-04-17,2025-04,UTC,15,Thursday
