approval_date,reimbursement_id,case_id,order_id,reason,sku,fnsku,asin,product_name,condition,currency_unit,amount_per_unit,amount_total,quantity_reimbursed_cash,quantity_reimbursed_inventory,quantity_reimbursed_total,original_reimbursement_id,original_reimbursement_type,approval_date_only,approval_month,approval_timezone,approval_hour,approval_weekday
2025-03-25 09:46:26+00:00,6858941772,No case ID,No order ID,Reimbursement_Reversal,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,NewItem,EUR,-11.56,-11.56,-1,1,0,5427029892.0,CustomerReturn,2025-03-25,2025-03,UTC,9,Tuesday
2025-03-24 10:03:42+00:00,6856364932,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,-10.22,-10.22,-1,1,0,5662344202.0,CustomerReturn,2025-03-24,2025-03,UTC,10,Monday
2025-03-24 09:07:14+00:00,6856251222,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco,NewItem,EUR,-14.26,-14.26,-1,1,0,5677027662.0,CustomerReturn,2025-03-24,2025-03,UTC,9,Monday
2025-03-16 19:04:14+00:00,6835471092,No case ID,404-0219501-7180306,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboPlus - TUBOX3 BLUE 2020 Bouteille de tennis et bouteille de pressuriseur à palette - Économisez des balles par un tube !! - Plus de vie pour vos balles - Fabriqué à Zaragoza - Espagne,NewItem,EUR,8.87,8.87,1,0,1,No original ID,Unknown,2025-03-16,2025-03,UTC,19,Sunday
2025-03-13 16:16:52+00:00,6827301822,No case ID,406-7957011-3012344,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,NewItem,EUR,20.85,20.85,1,0,1,No original ID,Unknown,2025-03-13,2025-03,UTC,16,Thursday
2025-03-07 11:58:21+00:00,6810239482,No case ID,No order ID,Reimbursement_Reversal,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -,NewItem,EUR,-9.39,-9.39,-1,1,0,6698261792.0,CustomerReturn,2025-03-07,2025-03,UTC,11,Friday
2025-03-05 12:55:50+00:00,6804513412,No case ID,No order ID,Reimbursement_Reversal,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (Incluye Bomba de Aire),NewItem,EUR,-26.3,-26.3,-1,0,-1,6675092142.0,CustomerReturn,2025-03-05,2025-03,UTC,12,Wednesday
2025-02-26 09:41:35+00:00,6783614212,No case ID,No order ID,Reimbursement_Reversal,84-F0A5-X7S1,X001T0EPOZ,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-26.87,-26.87,-1,1,0,5419645472.0,CustomerReturn,2025-02-26,2025-02,UTC,9,Wednesday
2025-02-20 12:27:26+00:00,6767051532,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-22.31,-22.31,-1,1,0,6764425512.0,CustomerReturn,2025-02-20,2025-02,UTC,12,Thursday
2025-02-19 20:03:33+00:00,6764425512,No case ID,402-5416094-9421906,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.31,22.31,1,0,1,No original ID,Unknown,2025-02-19,2025-02,UTC,20,Wednesday
2025-02-19 18:33:54+00:00,6763990162,No case ID,171-0972026-5930715,CustomerReturn,35-DQ86-IJB4,X001D1A0DZ,B09266N893,TuboPlus - TuboX3 Crystal + Bomba con Manometro BETO - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,18.11,18.11,1,0,1,No original ID,Unknown,2025-02-19,2025-02,UTC,18,Wednesday
2025-02-18 07:15:42+00:00,6759111902,No case ID,No order ID,Lost_Warehouse,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul,NewItem,EUR,9.54,9.54,1,0,1,No original ID,Unknown,2025-02-18,2025-02,UTC,7,Tuesday
2025-02-17 06:35:21+00:00,6755202162,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,NewItem,EUR,13.46,13.46,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,6,Monday
2025-02-17 05:21:56+00:00,6754690772,No case ID,No order ID,Lost_Warehouse,TUBOX3-PINK,X001PQRHT3,B0BTDTN52N,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Rosa,NewItem,EUR,9.77,9.77,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,5,Monday
2025-02-17 03:18:12+00:00,6754420152,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.99,11.99,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,3,Monday
2025-02-16 03:56:00+00:00,6751035382,No case ID,No order ID,Lost_Warehouse,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas – Made in Zaragoza-Spain –,NewItem,EUR,8.27,8.27,1,0,1,No original ID,Unknown,2025-02-16,2025-02,UTC,3,Sunday
