fecha,nombre_de_la_cartera,tipo_de_campana,nombre_de_campana,pais,estado,divisa,presupuesto,tipo_de_orientacion,estrategia_de_pujas,impresiones,impresiones_del_ano_pasado,clics,clics_del_ano_pasado,porcentaje_de_clics_ctr,gasto,coste_por_clic_cpc,coste_por_clic_cpc_del_ano_pasado,pedidos_totales_de_7_dias_#,coste_publicitario_de_las_ventas_acos_total,retorno_de_la_inversion_publicitaria_roas_total,ventas_totales_de_7_dias
2025-06-07 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1433,0,27,0,0.01884,5.08,0.1881481,0.0,4,0.06471,15.45,78.51
2025-06-08 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,3215,0,29,0,0.00902,5.12,0.1765516999999999,0.0,0,0.0,0.0,0.0
2025-06-08 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,612,0,4,0,0.006540000000000001,0.14,0.035,0.0,0,0.0,0.0,0.0
2025-06-08 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,97,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-09 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,764,0,4,0,0.00524,0.12,0.03,0.0,0,0.0,0.0,0.0
2025-06-09 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,173,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-09 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1823,0,21,0,0.011519999999999999,5.07,0.2414286,0.0,1,0.24539999999999998,4.07,20.66
2025-06-10 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,2072,0,20,0,0.009649999999999999,5.11,0.2555,0.0,3,0.09512000000000001,10.51,53.72
2025-06-10 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,153,0,1,0,0.006540000000000001,0.03,0.03,0.0,0,0.0,0.0,0.0
2025-06-10 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,247,0,1,0,0.004049999999999999,0.03,0.03,0.0,0,0.0,0.0,0.0
2025-06-11 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,177,0,4,0,0.0226,0.12,0.03,0.0,2,0.00363,275.5,33.06
2025-06-11 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,629,0,4,0,0.00636,0.14,0.035,0.0,0,0.0,0.0,0.0
2025-06-11 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1211,0,22,0,0.01817,5.04,0.2290909,0.0,3,0.07437,13.45,67.77
2025-06-12 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,699,0,7,0,0.010009999999999998,0.23,0.0328571,0.0,1,0.01391,71.87,16.53
