Fecha,Ventas de productos encargados,Ventas de productos encargados: B2B,Unidades encargadas,Unidades encargadas - B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B,Promedio de ventas por artículo,Promedio de ventas por pedido: B2B,Promedio de unidades por pedido,Promedio de unidades por pedido: B2B,Precio de venta medio,Precio de venta medio - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Porcentaje de productos pedidos por sesión,Porcentaje de artículos de un pedido encargados por sesión: B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Promedio de ofertas,Promedio de productos parent,Unidades reembolsadas,Ratio de reembolsos,Valoraciones recibidas,Valoraciones negativas recibidas,Ratio de valoraciones negativas recibidas,Reclamaciones bajo la Garantía de la A a la Z concedidas,Importe de las reclamaciones,Ventas de productos enviados,Unidades enviadas,Pedidos enviados
17/1/25,"116,99 €","0,00 €",3,0,3,0,"39,00 €","0,00 €",1.00,0.00,"39,00 €","0,00 €",132,6,65,4,197,10,88,3,47,4,135,7,98.24%,100.00%,2.22%,0.00%,2.22%,0.00%,6,6,1,33.33%,0,0,0.00%,0,"0,00 €","138,84 €",4,4
18/1/25,"338,33 €","0,00 €",10,0,10,0,"33,83 €","0,00 €",1.00,0.00,"33,83 €","0,00 €",230,3,100,2,330,5,161,3,77,2,238,5,96.13%,100.00%,4.20%,0.00%,4.20%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","137,12 €",4,4
19/1/25,"133,65 €","0,00 €",6,0,5,0,"26,73 €","0,00 €",1.20,0.00,"22,28 €","0,00 €",160,4,72,0,232,4,100,2,48,0,148,2,84.54%,25.00%,3.38%,0.00%,4.05%,0.00%,4,4,0,0.00%,0,0,0.00%,0,"0,00 €","122,31 €",4,4
20/1/25,"74,99 €","0,00 €",2,0,2,0,"37,50 €","0,00 €",1.00,0.00,"37,50 €","0,00 €",69,1,35,0,104,1,44,1,28,0,72,1,86.05%,100.00%,2.78%,0.00%,2.78%,0.00%,4,4,1,50.00%,0,0,0.00%,0,"0,00 €","94,96 €",3,3
21/1/25,"65,98 €","0,00 €",2,0,2,0,"32,99 €","0,00 €",1.00,0.00,"32,99 €","0,00 €",37,1,18,2,55,3,28,1,13,1,41,2,97.96%,100.00%,4.88%,0.00%,4.88%,0.00%,4,4,1,50.00%,0,0,0.00%,0,"0,00 €","34,71 €",1,1
22/1/25,"65,98 €","0,00 €",2,0,2,0,"32,99 €","0,00 €",1.00,0.00,"32,99 €","0,00 €",137,1,45,1,182,2,94,1,35,1,129,2,84.62%,100.00%,1.55%,0.00%,1.55%,0.00%,10,10,2,100.00%,0,0,0.00%,0,"0,00 €","65,98 €",2,2
23/1/25,"300,99 €","0,00 €",11,0,10,0,"30,10 €","0,00 €",1.10,0.00,"27,36 €","0,00 €",245,1,95,10,340,11,165,1,84,8,249,9,93.22%,80.00%,4.02%,0.00%,4.42%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","191,66 €",8,7
24/1/25,"110,46 €","0,00 €",5,0,5,0,"22,09 €","0,00 €",1.00,0.00,"22,09 €","0,00 €",213,4,74,7,287,11,151,3,59,6,210,9,99.60%,100.00%,2.38%,0.00%,2.38%,0.00%,10,10,3,60.00%,0,0,0.00%,0,"0,00 €","112,26 €",4,4
25/1/25,"214,00 €","0,00 €",8,0,8,0,"26,75 €","0,00 €",1.00,0.00,"26,75 €","0,00 €",265,2,57,1,322,3,177,2,46,1,223,3,97.32%,100.00%,3.59%,0.00%,3.59%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","114,05 €",6,6
26/1/25,"370,32 €","39,99 €",14,1,14,1,"26,45 €","39,99 €",1.00,1.00,"26,45 €","39,99 €",384,11,115,2,499,13,257,7,88,2,345,9,98.51%,100.00%,4.06%,11.11%,4.06%,11.11%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","236,37 €",11,11
27/1/25,"280,00 €","0,00 €",12,0,11,0,"25,45 €","0,00 €",1.09,0.00,"23,33 €","0,00 €",269,10,119,19,388,29,164,5,88,12,252,17,97.49%,87.50%,4.37%,0.00%,4.76%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","368,59 €",19,19
28/1/25,"164,99 €","0,00 €",7,0,7,0,"23,57 €","0,00 €",1.00,0.00,"23,57 €","0,00 €",189,0,71,3,260,3,128,0,57,3,185,3,94.62%,100.00%,3.78%,0.00%,3.78%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","244,63 €",13,12
29/1/25,"398,98 €","61,99 €",17,2,16,2,"24,94 €","31,00 €",1.06,1.00,"23,47 €","31,00 €",286,4,115,12,401,16,185,3,91,7,276,10,96.24%,100.00%,5.80%,20.00%,6.16%,20.00%,10,10,1,5.88%,0,0,0.00%,0,"0,00 €","249,51 €",12,12
30/1/25,"433,32 €","16,53 €",17,1,16,1,"27,08 €","16,53 €",1.06,1.00,"25,49 €","16,53 €",288,5,137,4,425,9,188,2,108,3,296,5,97.80%,80.00%,5.41%,20.00%,5.74%,20.00%,10,10,2,11.76%,0,0,0.00%,0,"0,00 €","292,56 €",15,15
31/1/25,"400,00 €","0,00 €",16,0,16,0,"25,00 €","0,00 €",1.00,0.00,"25,00 €","0,00 €",248,4,100,7,348,11,173,4,76,5,249,9,97.39%,87.50%,6.43%,0.00%,6.43%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","376,85 €",18,17
1/2/25,"411,45 €","0,00 €",14,0,14,0,"29,39 €","0,00 €",1.00,0.00,"29,39 €","0,00 €",325,2,85,2,410,4,226,1,67,1,293,2,98.57%,100.00%,4.78%,0.00%,4.78%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","202,46 €",10,10
2/2/25,"218,36 €","0,00 €",9,0,9,0,"24,26 €","0,00 €",1.00,0.00,"24,26 €","0,00 €",423,1,84,3,507,4,287,1,75,3,362,4,97.70%,100.00%,2.49%,0.00%,2.49%,0.00%,10,10,1,11.11%,1,0,0.00%,0,"0,00 €","309,08 €",14,14
3/2/25,"357,98 €","0,00 €",13,0,13,0,"27,54 €","0,00 €",1.00,0.00,"27,54 €","0,00 €",331,3,127,15,458,18,224,3,98,8,322,11,95.19%,50.00%,4.04%,0.00%,4.04%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","327,27 €",13,13
4/2/25,"364,46 €","22,00 €",12,1,12,1,"30,37 €","22,00 €",1.00,1.00,"30,37 €","22,00 €",384,5,141,6,525,11,248,4,118,6,366,10,95.95%,75.00%,3.28%,10.00%,3.28%,10.00%,10,10,2,16.67%,0,0,0.00%,0,"0,00 €","339,58 €",13,13
5/2/25,"705,45 €","0,00 €",24,0,24,0,"29,39 €","0,00 €",1.00,0.00,"29,39 €","0,00 €",353,2,148,1,501,3,245,2,121,1,366,3,95.56%,100.00%,6.56%,0.00%,6.56%,0.00%,10,10,2,8.33%,0,0,0.00%,0,"0,00 €","454,54 €",21,21
6/2/25,"443,98 €","0,00 €",15,0,15,0,"29,60 €","0,00 €",1.00,0.00,"29,60 €","0,00 €",281,4,134,9,415,13,204,3,106,8,310,11,96.35%,100.00%,4.84%,0.00%,4.84%,0.00%,10,10,1,6.67%,0,0,0.00%,0,"0,00 €","449,51 €",17,17
7/2/25,"443,52 €","0,00 €",17,0,16,0,"27,72 €","0,00 €",1.06,0.00,"26,09 €","0,00 €",241,3,107,1,348,4,160,2,83,1,243,3,97.64%,100.00%,6.58%,0.00%,7.00%,0.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","292,49 €",14,13
8/2/25,"264,99 €","0,00 €",10,0,10,0,"26,50 €","0,00 €",1.00,0.00,"26,50 €","0,00 €",245,1,96,2,341,3,176,1,77,2,253,3,98.62%,100.00%,3.95%,0.00%,3.95%,0.00%,10,10,1,10.00%,0,0,0.00%,0,"0,00 €","268,58 €",12,12
9/2/25,"425,98 €","32,99 €",15,1,15,1,"28,40 €","32,99 €",1.00,1.00,"28,40 €","32,99 €",349,3,95,0,444,3,234,1,78,0,312,1,97.56%,100.00%,4.81%,100.00%,4.81%,100.00%,10,10,0,0.00%,0,0,0.00%,0,"0,00 €","266,92 €",11,11
10/2/25,"452,00 €","0,00 €",16,0,16,0,"28,25 €","0,00 €",1.00,0.00,"28,25 €","0,00 €",304,1,88,4,392,5,201,1,80,4,281,5,95.69%,100.00%,5.69%,0.00%,5.69%,0.00%,9,9,1,6.25%,0,0,0.00%,0,"0,00 €","348,62 €",14,14
11/2/25,"337,46 €","22,00 €",13,1,12,1,"28,12 €","22,00 €",1.08,1.00,"25,96 €","22,00 €",230,2,101,8,331,10,161,1,81,6,242,7,83.05%,100.00%,4.96%,14.29%,5.37%,14.29%,8,8,1,7.69%,0,0,0.00%,0,"0,00 €","370,24 €",15,15
12/2/25,"156,00 €","0,00 €",6,0,6,0,"26,00 €","0,00 €",1.00,0.00,"26,00 €","0,00 €",286,6,110,7,396,13,197,4,86,4,283,8,83.14%,100.00%,2.12%,0.00%,2.12%,0.00%,12,10,0,0.00%,0,0,0.00%,0,"0,00 €","195,03 €",9,9
