"sku","fnsku","asin","product-name","reserved_qty","reserved_customerorders","reserved_fc-transfers","reserved_fc-processing"
"29PSIX3_CB_2","X0029D24LR","B0F1F2PQPK","TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","6","4","0","2"
"TUBOX3-PINK","X001PQRHT3","B0BTDTN52N","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa","1","1","0","0"
"MD-R60M-OYR1","X002326XGB","B0786KK4TG","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","7","3","1","3"
"29PSIX4_SB","X0029D5M9D","B0F1F1D2PR","TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","2","1","0","1"
"IB-IKLG-TV8H","X000GERVU5","B0183RZ2VI","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja","5","1","0","4"
"UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","1","0","0"
"4R-VSV0-WZ9Z","X00231GYQL","B0D87X42RN","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado","1","0","0","1"
"TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","5","1","1","3"
"29PSIX4_CB","X0029D6HAL","B0F1F2KX6J","TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","5","2","0","3"
