"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold","HAM2","DE","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.21","3.0E-4","0.0387","0.0","EUR","0.0387","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","LCJ4","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.82","0.0","0.0018","2025-02","3.7","weeks","27.54","0.0","0.07","2.0E-4","0.05","0.0","EUR","0.05","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","LEJ5","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","3.61","0.0","0.0079","2025-02","3.7","weeks","27.54","0.0","0.86","0.0019","0.22","0.0","EUR","0.22","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","MUC3","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","3.0","0.0","0.0066","2025-02","3.7","weeks","27.54","0.0","0.64","0.0014","0.18","0.0","EUR","0.18","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","STR1","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.29","0.14","3.0E-4","2025-02","3.7","weeks","27.54","0.0","0.14","3.0E-4","0.0075","0.0","EUR","0.0075","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","STR1","DE","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","0.21","0.14","1.0E-4","2025-02","3.7","weeks","27.54","0.0","0.07","1.0E-4","0.0025","0.0","EUR","0.0025","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","WRO2","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.93","0.0","0.002","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0553","0.0","EUR","0.0553","Others","N","N","0.0","--","0.0"
"B0BTDSDQC5","X001PQPPUB","TUBOPLUS Tubox3 (ohne Pumpe) – Druckverstärker für Paddel- und Tennisbälle | 3-Ball-Beutel | Paddelzubehör","WRO2","DE","24.0","8.4","8.3","centimeters","0.37","kilograms","0.0017","cubic meters","Standard-Size","0.43","0.0","7.0E-4","2025-02","3.7","weeks","27.54","0.0","0.43","7.0E-4","0.0194","0.0","EUR","0.0194","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","WRO2","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","0.43","0.0","9.0E-4","2025-02","3.7","weeks","27.54","0.0","0.18","4.0E-4","0.0253","0.0","EUR","0.0253","Others","N","N","0.0","--","0.0"
"B0D265ZYB6","X0020C2PYD","TUBOPLUS 29 PSI X4e (inkl. Luftpumpe, 2)","WRO2","DE","31.0","8.7","8.5","centimeters","0.46","kilograms","0.0023","cubic meters","Standard-Size","0.32","0.0","7.0E-4","2025-02","3.7","weeks","27.54","0.0","0.32","7.0E-4","0.0199","0.0","EUR","0.0199","Others","N","N","0.0","--","0.0"
