"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold","HAM2","DE","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-03","5.0","weeks","27.54","0.0","1.0","0.0014","0.038","0.0","EUR","0.038","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","HAM2","DE","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","0.94","0.0","0.0013","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.0362","0.0","EUR","0.0362","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","LCJ4","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.19","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.19","4.0E-4","0.012","0.0","EUR","0.012","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","LCJ4","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","0.13","0.0","3.0E-4","2025-03","5.0","weeks","27.54","0.0","0.13","3.0E-4","0.008","0.0","EUR","0.008","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","LEJ5","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","4.0","0.0","0.0088","2025-03","5.0","weeks","27.54","0.0","4.0","0.0088","0.24","0.0","EUR","0.24","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","MUC3","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","3.0","0.0","0.0066","2025-03","5.0","weeks","27.54","0.0","3.0","0.0066","0.18","0.0","EUR","0.18","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","PRG2","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","0.23","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.01","0.0","EUR","0.01","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","STR1","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.68","0.0","0.0015","2025-03","5.0","weeks","27.54","0.0","0.68","0.0015","0.04","0.0","EUR","0.04","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","WRO1","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","0.23","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.23","4.0E-4","0.0105","0.0","EUR","0.0105","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","WRO1","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.13","0.0","3.0E-4","2025-03","5.0","weeks","27.54","0.0","0.13","3.0E-4","0.0082","0.0","EUR","0.0082","Others","N","N","0.0","--","0.0"
