"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","'MXP5'","IT","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","5.0","0.0","0.0081","2025-06","14.1","weeks","27.54","0.0","5.0","0.0081","0.2231","0.0","EUR","0.2231","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","'MXP5'","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-06","14.1","weeks","27.54","0.0","1.0","0.0022","0.0598","0.0","EUR","0.0598","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","'MXP5'","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","2.9","0.0","0.0063","2025-06","14.1","weeks","27.54","0.0","2.9","0.0063","0.1735","0.0","EUR","0.1735","Others","N","N","0.0","--","0.0"
"B09266N893","X001D1A0DZ","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","'MXP5'","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-06","14.1","weeks","27.54","0.0","1.0","0.0016","0.0438","0.0","EUR","0.0438","Others","N","N","0.0","--","0.0"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa","'MXP5'","IT","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-06","14.1","weeks","27.54","0.0","0.53","8.0E-4","0.0393","0.0","EUR","0.0393","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","'MXP5'","IT","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-06","14.1","weeks","27.54","0.0","0.37","8.0E-4","0.0601","0.0","EUR","0.0601","Others","N","N","0.0","--","0.0"
"B09266N893","X001WPKTQF","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","'MXP5'","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-06","14.1","weeks","27.54","0.0","1.0","0.0016","0.0438","0.0","EUR","0.0438","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (non include la pompa dell'aria)","'MXP5'","IT","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2025-06","14.1","weeks","27.54","0.0","0.93","0.0018","0.0532","0.0","EUR","0.0532","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","Tubo Plus X3 - Pressurizzatore per palline da paddle e tennis | Scatola ermetica per mantenere la pressione e recuperare il rimbalzo | Capacità: 3 palle | Pompa non Inclusa - Oro","'MXP5'","IT","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-06","14.1","weeks","27.54","0.0","0.33","5.0E-4","0.0385","0.0","EUR","0.0385","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS TuboX3 - Pressurizzatore a Sfera per Tennis e Paddle, Blu","'MXP5'","IT","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","3.0","0.0","0.0042","2025-06","14.1","weeks","27.54","0.0","1.1","0.0015","0.1149","0.0","EUR","0.1149","Others","N","N","0.0","--","0.0"
