ASIN (parent),ASIN (child),Título,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: aplicación móvil,Porcentaje de sesiones - Aplicación móvil - B2B,Porcentaje de sesiones: navegador,Porcentaje de sesiones: navegador - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas a la página: aplicación móvil,Porcentaje de visitas: aplicación móvil - B2B,Porcentaje de visitas: navegador,Porcentaje de visitas: navegador - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BTDTN52N,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,246,3,108,4,354,7,0.90%,0.70%,0.80%,0.65%,0.87%,0.67%,372,4,142,7,514,11,0.92%,0.64%,0.79%,0.81%,0.88%,0.74%,92.89%,100.00%,36,1,10.17%,14.29%,"792,36 €","22,00 €",35,1
B0183RZ2VI,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,103,1,52,7,155,8,0.38%,0.23%,0.39%,1.14%,0.38%,0.77%,162,1,82,17,244,18,0.40%,0.16%,0.46%,1.96%,0.42%,1.20%,86.32%,53.33%,29,0,18.71%,0.00%,"585,70 €","0,00 €",27,0
B0D87X42RN,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,286,4,137,12,423,16,1.05%,0.94%,1.02%,1.96%,1.04%,1.54%,387,9,173,17,560,26,0.96%,1.44%,0.96%,1.96%,0.96%,1.74%,97.99%,100.00%,19,0,4.49%,0.00%,"418,00 €","0,00 €",19,0
B0F1F1WKKS,B0F1F4FM85,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),612,11,215,20,827,31,2.24%,2.58%,1.59%,3.27%,2.03%,2.99%,850,14,283,22,"1,133",36,2.10%,2.24%,1.58%,2.53%,1.94%,2.41%,99.52%,100.00%,19,0,2.30%,0.00%,"603,54 €","0,00 €",19,0
B0F1F1WKKS,B0F1F2KX6J,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,273,3,125,4,398,7,1.00%,0.70%,0.93%,0.65%,0.97%,0.67%,355,4,155,6,510,10,0.88%,0.64%,0.86%,0.69%,0.87%,0.67%,99.11%,100.00%,12,0,3.02%,0.00%,"556,77 €","0,00 €",11,0
B019Y391L2,B019Y391L2,TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers,50,1,53,0,103,1,0.18%,0.23%,0.39%,0.00%,0.25%,0.10%,95,1,94,0,189,1,0.23%,0.16%,0.52%,0.00%,0.32%,0.07%,99.40%,100.00%,7,0,6.80%,0.00%,"28,00 €","0,00 €",7,0
B01LBC2HV0,B01LBC2GWK,TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!,38,0,64,1,102,1,0.14%,0.00%,0.47%,0.16%,0.25%,0.10%,53,0,87,1,140,1,0.13%,0.00%,0.48%,0.12%,0.24%,0.07%,97.64%,100.00%,5,0,4.90%,0.00%,"15,00 €","0,00 €",3,0
B0F1F1WKKS,B0F1F1D2PR,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),301,5,108,5,409,10,1.10%,1.17%,0.80%,0.82%,1.00%,0.96%,361,5,138,9,499,14,0.89%,0.80%,0.77%,1.04%,0.85%,0.94%,99.56%,100.00%,3,0,0.73%,0.00%,"108,53 €","0,00 €",3,0
B08B136DB2,B08B136DB2,REPOSICIÓN Junta TÓRICA para TUBOX4,17,0,25,0,42,0,0.06%,0.00%,0.19%,0.00%,0.10%,0.00%,38,0,30,0,68,0,0.09%,0.00%,0.17%,0.00%,0.12%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
B0D22TBKFH,B0CZMGFD3S, ,19,0,3,1,22,1,0.07%,0.00%,0.02%,0.16%,0.05%,0.10%,22,0,3,1,25,1,0.05%,0.00%,0.02%,0.12%,0.04%,0.07%,100.00%,100.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
