asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,category,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders,storage_utilization_ratio_num,storage_utilization_ratio_cat,volume_units_adapt,breakdown_incentive_fee_amount_clean,item_volume_m3,estimated_total_item_volume_m3,est_vol_for_sus_m3,base_rate_per_m3,utilization_surcharge_rate_per_m3,volume_units_standardized
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29 PSI X3e (ohne Luftpumpe),FRA7,DE,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,0.58,0.0,0.0011,2025-01-01,3.8,weeks,27.54,0.0,0.26,0.0005,0.0306,0.0,EUR,0.0306,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.0011,0.0005,27.54,0.0,cubic meters
B0183RZ2VI,X000GERVU5,TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel,HAM2,DE,20.19,8.5,8.5,centimeters,0.32,kilograms,0.0015,cubic meters,Standard-Size,3.0,0.0,0.0044,2025-01-01,3.8,weeks,27.54,0.0,3.0,0.0044,0.119,0.0,EUR,0.119,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0015,0.0,0.0015,0.0044,0.0044,27.54,0.0,cubic meters
B07ZTHSVCK,X0013ZBBK7,"TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas",HAM2,DE,30.8,8.6,8.2,centimeters,0.6,kilograms,0.0022,cubic meters,Standard-Size,1.0,0.0,0.0022,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.059,0.0,EUR,0.059,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0022,0.0,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,HAM2,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,1.0,0.0,0.0022,2025-01-01,3.8,weeks,27.54,0.0,0.42,0.0009,0.0598,0.0,EUR,0.0598,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0022,0.0009,27.54,0.0,cubic meters
B0BTDSDQC5,X001PQPPUB,Tubox3 (ohne Pumpe) – vervielfachen Sie das Leben Ihrer Bälle | Druckverstärker für Paddelbälle | Stellt den Druck Ihrer Bälle nach jedem Spiel wieder her | Behälter für 3 Bälle | Paddelzubehör,HAM2,DE,24.0,8.4,8.3,centimeters,0.37,kilograms,0.0017,cubic meters,Standard-Size,1.0,0.0,0.0017,2025-01-01,3.8,weeks,27.54,0.0,1.0,0.0017,0.0455,0.0,EUR,0.0455,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0017,0.0,0.0017,0.0017,0.0017,27.54,0.0,cubic meters
B0BTDTN52N,X001PQRHT3,"TUBOPLUS TuboX3 Tennis- und Padel-Drucker, Farbe Rosa",HAM2,DE,20.0,8.5,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,1.0,0.0,0.0014,2025-01-01,3.8,weeks,27.54,0.0,0.68,0.001,0.0388,0.0,EUR,0.0388,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0014,0.001,27.54,0.0,cubic meters
B0D87X42RN,X00231GYQL,TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold,HAM2,DE,19.8,8.4,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,1.0,0.0,0.0014,2025-01-01,3.8,weeks,27.54,0.0,0.16,0.0002,0.038,0.0,EUR,0.038,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0014,0.0002,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,LCJ4,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,0.1,0.0,0.0002,2025-01-01,3.8,weeks,27.54,0.0,0.1,0.0002,0.0059,0.0,EUR,0.0059,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0002,0.0002,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,LCJ4,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,1.23,0.0,0.0027,2025-01-01,3.8,weeks,27.54,0.0,0.58,0.0013,0.0741,0.0,EUR,0.0741,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0027,0.0013,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,LEJ5,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,3.0,0.0,0.0066,2025-01-01,3.8,weeks,27.54,0.0,0.06,0.0001,0.18,0.0,EUR,0.18,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0066,0.0001,27.54,0.0,cubic meters
