return_date,order_id,sku,asin,fnsku,product_name,quantity,fulfillment_center_id,detailed_disposition,reason,status,license_plate_number,customer_comments,return_day,return_month,return_year,return_weekday,return_hour_block,is_weekend
2025-01-11 22:52:33+00:00,403-6281422-7361148,MK-78DJ-J0C2,B0D22R7L7D,X0020AR9P5,TUBOPLUS 29 PSI X3e (non include la pompa dell'aria),1,BTS2,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNHE905394398,Doveva esserci la pompa come da foto ma non è arrivata. Così come si fa ad usarlo?! Lo restituisco.,11,1,2025,Saturday,Noche (18-24h),True
2025-01-10 14:38:36+00:00,405-4116578-4067553,IB-IKLG-TV8H,B0183RZ2VI,X000GERVU5,TuboPlus- TUBOX3 Orange 2020 Pallina da Tennis e Paddle Bottle Pressurizer Bottle - Salva Le Palle per Un Tubo !! - più Vita per Le tue Palle - Made in Zaragoza -Spain -,1,MXP5,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRP037249789,Letteralmente una truffa,10,1,2025,Friday,Tarde (12-18h),False
2025-01-10 04:03:16+00:00,407-7191499-8586754,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,1,MAD4,SELLABLE,FOUND_BETTER_PRICE,Unit returned to inventory,LPNWE291594823,Miravia 19€,10,1,2025,Friday,Madrugada (0-6h),False
2025-01-09 23:37:53+00:00,402-2985816-9956342,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNWE275856254,Porque le falta el reloj y la bomba,9,1,2025,Thursday,Noche (18-24h),False
2025-01-09 20:27:56+00:00,407-4868450-0132302,MD-R60M-OYR1,B0786KK4TG,X002326XGB,TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul,1,MAD4,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNWE276845448,Era para un regalo y ya lo tiene.,9,1,2025,Thursday,Noche (18-24h),False
2025-01-09 16:40:48+00:00,402-1899864-8484341,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,1,MAD4,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE287363390,Sin comentarios,9,1,2025,Thursday,Tarde (12-18h),False
2025-01-09 01:21:56+00:00,405-9966241-3556367,35-DQ86-IJB4,B09266N893,X001D1A0DZ,TUBOX3 + Bomba - Presurizador Pelotas Pádel | Multiplica X7 La Vida De Tus Pelotas | Recupera La Presión De Tus Bolas Después De Cada Partido | Bote para 3 Pelotas | Accesorios Pádel,1,MAD4,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit returned to inventory,LPNIC114762466,Sin comentarios,9,1,2025,Thursday,Madrugada (0-6h),False
2025-01-08 18:12:13+00:00,407-8845416-2321137,MD-R60M-OYR1,B0786KK4TG,X002326XGB,TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul,1,MAD4,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNWE275581373,Era para regalo y ya lo tenian,8,1,2025,Wednesday,Tarde (12-18h),False
2025-01-08 12:33:00+00:00,403-5428317-2243515,35-DQ86-IJB4,B09266N893,X001D1A0DZ,"TUBOPLUS 35-DQ86-IJB4 Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Transparent, 3 Boules",1,BTS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRP027883944,Il ne fonctionne pas.,8,1,2025,Wednesday,Mañana (6-12h),False
2025-01-08 03:00:52+00:00,403-5266299-4965935,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE276813285,Sin comentarios,8,1,2025,Wednesday,Madrugada (0-6h),False
2025-01-08 00:18:56+00:00,407-1982985-4417903,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,"TUBOPLUS - Drukhouder voor padel- en tennisballen, TUBOX4 Crystal (zonder pomp), compressor voor ballen, onmisbare accessoires",1,BTS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNHE913728979,Had ander pompje bij nodig,8,1,2025,Wednesday,Madrugada (0-6h),False
2025-01-07 20:07:46+00:00,408-0771546-8486735,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE275657965,Creia que venia con la bomba,7,1,2025,Tuesday,Noche (18-24h),False
2025-01-07 14:31:52+00:00,171-0894020-6113143,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Tryckbåt för paddel och tennisbollar | TUBOX4 Crystal (INGEN pump) | Kompressor för bollar | Oumbärliga tillbehör,1,WRO1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNHK260866868,Sin comentarios,7,1,2025,Tuesday,Tarde (12-18h),False
2025-01-07 14:31:52+00:00,171-0894020-6113143,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Tryckbåt för paddel och tennisbollar | TUBOX4 Crystal (INGEN pump) | Kompressor för bollar | Oumbärliga tillbehör,1,WRO1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNHK260960998,Sin comentarios,7,1,2025,Tuesday,Tarde (12-18h),False
2025-01-07 11:48:31+00:00,402-8031569-7541906,84-F0A5-X7S1,B07ZTHSVCK,X001T0EPOZ,TuboPlus - Tubox4 Crystal + Pump med tryckmätare Beto - Tennis och Padel Bollar Tryck,1,PRG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNHE856917086,Sin comentarios,7,1,2025,Tuesday,Mañana (6-12h),False
2025-01-07 10:27:36+00:00,408-1858097-1591558,MD-R60M-OYR1,B0786KK4TG,X002326XGB,TuboPlus- TUBOX3 Blu 2020 Pallina da Tennis e Paddle Pressurizer Bottle - Salva Le Palle da Un Tubo !! - più Vita per Le tue Palle - Made in Zaragoza -Spain -,1,MXP5,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRP035333711,non funziona,7,1,2025,Tuesday,Mañana (6-12h),False
2025-01-07 01:08:07+00:00,403-0655590-3711568,MD-R60M-OYR1,B0786KK4TG,X002326XGB,TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul,1,MAD4,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNWE284759587,Era un regalo,7,1,2025,Tuesday,Madrugada (0-6h),False
2025-01-04 22:54:06+00:00,404-8901842-7383535,UG-965T-RORR,B07ZTHSVCK,X0013ZBBK7,"TUBOPLUS UG-965T-RORR - TuboX4 Crystal+ Pomp met Manometer BETO - Pressurizer voor tennis en paddleballen,Neutral",1,BTS2,CUSTOMER_DAMAGED,NO_REASON_GIVEN,Unit returned to inventory,LPNWE279256107,Sin comentarios,4,1,2025,Saturday,Noche (18-24h),True
2025-01-04 20:16:42+00:00,407-6886012-4001912,JW-4PNV-18BT,B0CZMGFD3S,X001ZWRDZP,TUBOPLUS 29PSI X3e (Incluye Bomba de Aire),1,MAD4,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNWE275711458,Hincha poco,4,1,2025,Saturday,Noche (18-24h),True
2025-01-02 08:20:04+00:00,304-1166809-7177961,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,1,PRG2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNHE858991784,Sin comentarios,2,1,2025,Thursday,Mañana (6-12h),False
