date,fnsku,asin,msku,title,event_type,reference_id,quantity,fulfillment_center,disposition,reason,country,reconciled_quantity,unreconciled_quantity,date_and_time,reason_descripcion,reason_categoria
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X000GERVU5,B0183RZ2VI,IB-IKLG-TV8H,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
2025-07-20 00:00:00+00:00,X000GERVU5,B0183RZ2VI,IB-IKLG-TV8H,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,Shipments,No reference ID,-3,OVD1,SELLABLE,0,ES,0,0,2025-07-20 00:00:00+00:00,Otro,Otro
